combination_id,timestamp,use_ema,use_macd,use_rsi,use_bollinger,use_atr,use_momentum,use_sma,use_stochastic,use_adx,use_cci,use_williams,use_roc,use_obv,use_mfi,use_volatility,use_volume_features,use_returns,prediction_horizon,learning_rate,num_leaves,max_depth,n_estimators,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,train_rmse,train_mae,train_r2,train_direction_acc,val_rmse,val_mae,val_r2,val_direction_acc,test_rmse,test_mae,test_r2,test_direction_acc,test_confidence_mean,combined_score
21,2025-12-30T09:01:55.802134,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,6,0.025,100,15,1500,10,1.0,0.82,0.5,0.05,0.00473802417379906,0.0037708293329518088,0.0025387914380053944,0.5077092511013216,0.004869437953126385,0.003986371068015941,-0.002566275015021935,0.5064935064935064,0.004572508452505197,0.0037124355335511304,0.00026500558339725977,0.5012987012987012,0.5687495947834357,0.503273807153804
22,2025-12-30T09:01:56.224774,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,8,0.005,63,10,300,15,0.95,0.95,0.6,0.6,0.005464295904863902,0.004319531077200817,0.0072004670972475315,0.5589856670341786,0.00560098787622116,0.004535180854414568,-0.004392646929663568,0.5326370757180157,0.005217691832977283,0.00423658550659657,-0.006031893726475834,0.4595300261096606,0.5315607778062791,0.5456876657233166
23,2025-12-30T09:01:57.631383,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8,0.07,63,8,1200,25,0.82,0.5,0.0,0.3,0.0002673111870013841,0.00020714756597595393,0.9976241040668123,0.9829106945975744,0.007800473497317892,0.006343293783027741,-0.9481221788220568,0.5274151436031331,0.007886189723278812,0.006290204874507518,-1.2982080451421067,0.4751958224543081,0.9836827712879663,0.5326903672689708
24,2025-12-30T09:01:57.840563,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,8,0.04,31,10,200,18,0.8,0.85,0.5,0.3,0.005415712231310549,0.004281800172146279,0.024776170515547813,0.5799338478500551,0.005608143366397599,0.004546608730373922,-0.0069605912530410485,0.4699738903394256,0.0052231720875153325,0.0042463238453731315,-0.00814631765275875,0.4725848563968668,0.5909754072446768,0.5326383156906485
25,2025-12-30T09:01:58.696839,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,6,0.001,25,12,1200,20,0.92,0.8,0.25,0.3,0.004558547236087741,0.003628796490949501,0.07667543686531397,0.6354625550660793,0.004903168923311432,0.004006653858181153,-0.0165040895146078,0.4675324675324675,0.004571625869721865,0.0036969028306829297,0.000650904810444719,0.5558441558441558,0.7103120789162071,0.44872747002556607
26,2025-12-30T09:01:59.665912,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,0.001,63,5,1200,18,0.6,0.65,0.0,0.1,0.00438957162438757,0.003476357337284866,0.14385810413658107,0.704295154185022,0.00516161257725716,0.0042200583730206635,-0.1264871099319711,0.4727272727272727,0.005066198068498135,0.004032829059075423,-0.22727020380161989,0.4987012987012987,0.9861026348678046,0.5063648993671995
27,2025-12-30T09:01:59.819253,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,8,0.001,70,2,150,5,0.95,0.8,0.2,0.1,0.005460022288534031,0.004313796724935807,0.008752793402179604,0.5049614112458655,0.005605625887365725,0.0045383469478097425,-0.006056750879742001,0.5169712793733682,0.0051975774683824276,0.00421706905581756,0.0017097239614979332,0.5274151436031331,0.6058547114286473,0.4777824338652493
28,2025-12-30T09:02:00.068238,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6,0.008,127,3,300,40,0.9,0.8,0.2,0.08,0.004518408398185772,0.0035928703447485675,0.09286393195593046,0.6233480176211453,0.004956424319688449,0.0040386283914136305,-0.038705370768308045,0.4753246753246753,0.004550468202968175,0.0036690386675746808,0.00987955489382375,0.5714285714285714,0.8620413192757865,0.4331218967743968
29,2025-12-30T09:02:00.587391,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,8,0.07,15,7,600,12,0.7,0.6,0.15,0.15,0.0038305151350140156,0.003006755356825986,0.5121261836356351,0.8009922822491731,0.00607216170819672,0.004951075736310953,-0.18048620666595405,0.4595300261096606,0.005482394334349199,0.004484231183389719,-0.11069659036450896,0.4804177545691906,0.8727558199728012,0.5250646397651586
30,2025-12-30T09:02:01.016480,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,6,0.001,60,15,400,50,0.65,0.7,0.6,0.5,0.0047440500777173366,0.0037756706974051567,0.0,0.5077092511013216,0.004869035393195757,0.003986329509135468,-0.0024005161199120995,0.5064935064935064,0.004573146907132076,0.0037124037666124965,-1.4197834611540117e-05,0.5012987012987012,0.5683851033352897,0.5032744456084308
31,2025-12-30T09:02:01.245497,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,0.05,25,4,250,18,0.7,0.87,0.0,0.25,0.0032198253013894346,0.0025138396358956442,0.5393552901476837,0.8078193832599119,0.006158697029035733,0.0049957273510997,-0.6037368137516976,0.4727272727272727,0.006443173476743148,0.005178056049311792,-0.9850685526786955,0.4961038961038961,0.9885062813612117,0.510339277372847
32,2025-12-30T09:02:03.449788,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,8,0.001,70,10,700,5,0.82,0.9,0.05,0.2,0.004492290793099983,0.0035252605060920312,0.32899019310945965,0.8379272326350606,0.005774936588624283,0.004688563511858551,-0.06774783398514517,0.47780678851174935,0.0052217977404860495,0.004217210805178738,-0.007615850500589216,0.5352480417754569,0.7648802958326535,0.4699737559650291
33,2025-12-30T09:02:03.804426,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8,0.05,60,5,1200,3,0.6,0.5,1.0,0.6,0.005484075527517878,0.004334545257355376,0.0,0.5049614112458655,0.005599743482530725,0.004531771122626954,-0.00394639671201813,0.5169712793733682,0.005202149169059101,0.004219929538497171,-4.7206653099207685e-05,0.5274151436031331,0.6212826568343635,0.47778700556592596
34,2025-12-30T09:02:04.553357,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,6,0.07,45,10,700,7,0.65,0.65,0.08,0.25,0.0026204745675584445,0.0020743502089030975,0.6948865386878937,0.848568281938326,0.005224378403644989,0.004252197987370218,-0.15405011792303536,0.4961038961038961,0.005107540987681409,0.004081467775870527,-0.24738231183394643,0.4987012987012987,0.9682133113555752,0.5064062422863828
35,2025-12-30T09:02:05.644673,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,8,0.001,50,5,1000,3,0.85,0.7,0.15,0.25,0.0050543084200019624,0.003976626962816617,0.15059145730260037,0.6907386990077178,0.00569540967946692,0.004635340712458526,-0.0385423174409425,0.4281984334203655,0.005171253228152432,0.004185325309537982,0.011796224764359375,0.577023498694517,0.8299645041033009,0.42814775453363546
36,2025-12-30T09:02:05.814540,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8,0.008,127,10,200,25,1.0,0.6,1.0,0.01,0.005484075527517878,0.004334545257355376,0.0,0.5049614112458655,0.005599743482530725,0.004531771122626954,-0.00394639671201813,0.5169712793733682,0.005202149169059101,0.004219929538497171,-4.7206653099207685e-05,0.5274151436031331,0.6212826568343635,0.47778700556592596
37,2025-12-30T09:02:06.026880,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,8,0.008,100,10,250,3,0.7,0.5,1.0,0.1,0.005484075527517878,0.004334545257355376,0.0,0.5049614112458655,0.005599743482530725,0.004531771122626954,-0.00394639671201813,0.5169712793733682,0.005202149169059101,0.004219929538497171,-4.7206653099207685e-05,0.5274151436031331,0.6212826568343635,0.47778700556592596
