combination_id,timestamp,use_ema,use_macd,use_rsi,use_bollinger,use_atr,prediction_horizon,learning_rate,num_leaves,max_depth,n_estimators,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,train_rmse,train_mae,train_r2,train_direction_acc,val_rmse,val_mae,val_r2,val_direction_acc,test_rmse,test_mae,test_r2,test_direction_acc,combined_score
10,2025-12-13T15:15:27.743495,False,False,True,True,True,6,0.05,50,4,500,20,0.8,0.7,0.3,0.1,0.003924133652041621,0.00217906933652231,0.03954396848669539,0.5547134356404635,0.002672818452238603,0.0018102590482799595,-0.0028571163564463653,0.4995610184372256,0.0029427496596115556,0.0018628355463773047,-0.0009194707032165184,0.4893181153058238,0.5136246343537878
11,2025-12-13T15:15:28.199262,True,True,True,True,True,16,0.05,31,8,800,20,0.7,0.8,0.3,0.3,0.006587940626836439,0.0037855092004318034,0.04537177373845891,0.5702914446881855,0.004342328350233278,0.003146094851519752,-0.007107748960236915,0.5726445553272674,0.00468726755205604,0.003089095281575872,-0.0010325823662353795,0.5776342823598474,0.4270529851922087
12,2025-12-13T15:15:28.640774,True,False,False,True,True,10,0.03,50,4,800,20,0.8,0.8,0.3,0.3,0.005227728212862899,0.0029096353682346566,0.005453179236597383,0.5529728713739741,0.003462609805090915,0.0024121426470508542,-0.004552753826200462,0.5616759449164958,0.0037899625271217547,0.0024327502213161542,-0.0003989658754661729,0.5616759449164958,0.442114017610626
13,2025-12-13T15:15:29.067313,True,True,True,False,False,10,0.05,70,6,800,10,0.8,0.7,0.1,0.3,0.005208514221670445,0.002906523421136943,0.01275045869629643,0.5511559426101121,0.0034673092214617695,0.0024186680443672986,-0.0072813403200597815,0.5332552007031937,0.0037954096330210076,0.0024417252265800963,-0.003276669834302748,0.5086434222092001,0.4951519874238209
14,2025-12-13T15:15:29.426902,False,False,True,True,True,10,0.01,31,4,300,30,0.7,0.7,0.1,0.5,0.00523638588566323,0.002911319669735554,0.002156301309312325,0.5472088215024121,0.003462840256534199,0.0024128689534005467,-0.004686472811984199,0.5616759449164958,0.003790626928799327,0.002433557642508143,-0.0007497477137119457,0.5616759449164958,0.4421146820123036
15,2025-12-13T15:15:29.925919,True,True,False,False,True,6,0.05,70,8,300,30,0.9,0.7,0.5,0.1,0.003981011229950478,0.002187746832214794,0.011499911890582748,0.5444409646100845,0.002671656980093567,0.0018074684038653567,-0.001985723444977161,0.5522388059701493,0.00294189359860648,0.0018597064558687041,-0.0003372101670346961,0.5469710272168569,0.4559708663817496
16,2025-12-13T15:15:30.375841,True,True,True,True,True,16,0.03,31,8,300,20,0.7,0.9,0.5,0.3,0.006715674017285711,0.003820923043941832,0.007994380060433737,0.5509244750861799,0.004343058492026532,0.0031447640244640545,-0.007446458159426905,0.5741121221015556,0.004686457263891783,0.0030877326506129964,-0.0006865151810686587,0.5793953624889933,0.4252910947748985
17,2025-12-13T15:15:30.869404,False,False,True,True,True,16,0.03,70,8,300,30,0.7,0.9,0.3,0.5,0.006707629283623826,0.0038184345265261954,0.010369611822227287,0.5505484174240051,0.004343924035150585,0.0031451638358982337,-0.007848053140059763,0.573818608746698,0.004686142119622319,0.003087540314098079,-0.0005519359030756732,0.5805694159084238,0.4241167262111985
18,2025-12-13T15:15:31.263442,True,True,False,False,True,6,0.03,70,8,500,30,0.9,0.7,0.5,0.5,0.003986202047459393,0.002189702452262531,0.008920432210918428,0.5442530535546508,0.0026720493102375983,0.0018074966706175945,-0.0022800262465503263,0.5522388059701493,0.002941880238797261,0.0018593320788830626,-0.00032812466921550154,0.5469710272168569,0.4559708530219404
19,2025-12-13T15:15:31.859292,True,True,True,True,True,10,0.01,70,8,800,10,0.7,0.8,0.1,0.5,0.005216534401275269,0.002906049678434697,0.0097077427172233,0.5572959087776456,0.0034631653272933663,0.0024124713122562974,-0.004875109595435134,0.5616759449164958,0.0037902775568873595,0.0024338980030623263,-0.0005652833773792665,0.5616759449164958,0.4421143326403916
20,2025-12-13T15:15:32.236626,False,False,True,True,True,16,0.05,31,4,800,30,0.9,0.8,0.3,0.3,0.006691868732798663,0.003818482829803414,0.015014709373383894,0.5492948918834222,0.004349019153386573,0.003151802138460631,-0.010213709865218634,0.5741121221015556,0.004689495741058474,0.003098874006905602,-0.001984531415834434,0.5793953624889933,0.4252941332520652
21,2025-12-13T15:15:32.683287,False,False,True,True,True,10,0.01,31,6,500,20,0.9,0.8,0.5,0.1,0.0052227021784753596,0.002907400683586559,0.007364611289620293,0.5533487876699454,0.003462391038572567,0.0024121976591786505,-0.004425823228436876,0.5616759449164958,0.0037896427984277707,0.00243272537825375,-0.00023018174597577712,0.5616759449164958,0.442113697881932
22,2025-12-13T15:15:33.112350,True,False,False,True,True,6,0.01,31,8,500,10,0.7,0.7,0.5,0.5,0.0040009734370511345,0.0021939648308671694,0.0015616748027122984,0.5391168180394613,0.0026725364989652273,0.0018073680433002965,-0.0026455464816150798,0.5522388059701493,0.0029419869548538034,0.0018587080156482305,-0.00040069934951092456,0.5469710272168569,0.45597095973799695
23,2025-12-13T15:15:33.568212,True,False,False,True,True,16,0.01,50,4,300,30,0.8,0.9,0.5,0.3,0.006734882069298215,0.0038267886452782143,0.002311630969008105,0.5465371356941398,0.004343548024977036,0.0031446961391697536,-0.007673581985931044,0.5741121221015556,0.004686661628093071,0.003088985248687882,-0.0007737917517720572,0.5793953624889933,0.4252912991390998
24,2025-12-13T15:15:33.991520,True,True,False,False,True,6,0.03,31,6,500,30,0.8,0.9,0.1,0.1,0.003991513237096785,0.00219138353819937,0.006277656856506053,0.5455684309426871,0.002673329782488403,0.0018082302038616347,-0.003240861260477068,0.5522388059701493,0.0029413851804870805,0.001858815195635418,8.516555487947386e-06,0.546678372841674,0.4562630123388131
25,2025-12-13T15:15:34.505941,True,True,False,False,True,6,0.05,31,6,500,20,0.9,0.7,0.1,0.1,0.00397787839699514,0.0021887099193057553,0.013055088184867114,0.5522705919198246,0.0026740858920772516,0.0018091651640422066,-0.0038084435419631912,0.533801580333626,0.0029418259309490205,0.0018603948746429544,-0.000291192393158779,0.5279484928299678,0.4749933331009812
26,2025-12-13T15:15:34.933509,True,False,True,True,True,10,0.03,31,6,500,30,0.9,0.9,0.5,0.1,0.005228246058104386,0.0029084930685439217,0.005256135004021778,0.5540379675458931,0.0034626374790978146,0.002412434218465848,-0.004568811142789508,0.5616759449164958,0.0037901770349546365,0.0024326466704714645,-0.0005122121070744168,0.5616759449164958,0.4421142321184589
27,2025-12-13T15:15:35.415686,True,False,False,True,True,6,0.03,50,6,800,30,0.7,0.7,0.5,0.3,0.00399656739251072,0.002192732487907908,0.0037595106676175938,0.5427497651111807,0.0026724269255221,0.0018075235938802474,-0.002563331647415179,0.5522388059701493,0.002942137344403586,0.001858958088645834,-0.0005029796508582152,0.5469710272168569,0.4559711101275467
28,2025-12-13T15:15:35.826176,False,False,True,True,True,16,0.05,70,6,800,30,0.9,0.9,0.1,0.1,0.0066773368361136565,0.003812591870359492,0.019288003846775315,0.5556878721403948,0.004353117003287493,0.0031564198550123666,-0.012118348275190094,0.5412386263574993,0.004700379097947705,0.0031138329337943795,-0.006640728984586897,0.5089521573231582,0.49574822177478944
